Label,Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
2,1,-0.202448643,0.172413285,-0.001197323,0.160911608,0.068683982,-0.08167725,-0.017678881,0.016979683,-0.003418803,0.031921613,0.007014331,0.071868458,-0.02009797,0.001850542,0.032951059,-0.017649022,-0.066944783,-0.113245164,-0.116786983,0.002367126,-0.017619278,0.010441174,0.016710218,-0.000993974,-0.017659568,-0.000743819,0.000637036,-0.043641098,0.018571285,0.002396474,-0.01632424,0.001895734,0.003466633,-0.043205474,0.016943776,0.009207669,-0.012358425,-0.000379894,-0.000251477,-0.008154502,-0.009946207,-0.13854233,0.028357096,-0.199258532,0.222705533,-0.023395333,0.043959009,0.071933396,0.032997967,-0.103732929,0.06646711,0.06075611
2,1,-0.202270817,0.027839797,0.047092832,0.067473618,-0.138863187,0.011389583,-0.015947778,-0.089952677,0.073504274,0.035580905,0.013377753,0.274905578,-0.014432247,0.205650948,-0.017456749,-0.021123255,-0.074471902,-0.113009565,-0.111826715,0.014985422,0.03208987,0.042766204,0.016710218,-0.000993974,-0.017659568,-0.000743819,0.000637036,-0.043641098,0.018571285,0.002396474,-0.01632424,0.001895734,0.003466633,-0.043205474,0.016943776,0.009207669,-0.012358425,-0.000379894,-0.000251477,-0.008154502,-0.009946207,0.009738472,-0.019253796,-0.199427788,0.145430566,0.004217891,0.040067958,0.274943429,-0.017380449,-0.105148171,0.122868922,0.067143875
2,1,-0.200729656,0.056273918,-0.004098877,0.163548971,-0.043072186,0.028878652,-0.017101847,0.010243786,0.073504274,0.039127603,0.037888712,0.07285271,-0.013299103,-0.09823649,-0.133381338,-0.010700557,0.14868506,-0.10935778,-0.117849897,0.0055217,-0.030310976,0.091105468,0.023544389,0.051039213,-0.071689839,-0.123887465,-0.026146379,-0.000104892,0.026246882,-0.050740057,-0.041663813,-0.091490909,0.074962048,-0.044676062,0.045282164,-0.042856635,-0.012358425,-0.000379894,-0.000251477,-0.008154502,-0.009946207,-0.019392378,0.031097291,-0.200890642,0.1041891,-0.000368389,0.036274184,0.072841184,-0.133331688,-0.103436715,0.135837222,-0.150040111
2,1,-0.199840524,-0.005800572,-0.011352763,0.137175344,-0.270938659,-0.207223784,-0.005561166,-0.148751442,-0.157264957,0.034905343,0.068527411,-0.244076424,-0.005933664,0.318502704,-0.032966844,-0.006647285,-0.182065438,-0.105823795,-0.109346582,0.012117627,-0.001225836,0.097926346,0.023544389,0.051039213,-0.071689839,-0.123887465,-0.026146379,-0.000104892,0.026246882,-0.050740057,-0.041663813,-0.091490909,0.074962048,-0.044676062,0.045282164,-0.042856635,-0.012358425,-0.000379894,-0.000251477,-0.008154502,-0.009946207,0.044361204,0.038290304,-0.20178528,0.102500029,-0.022535406,0.040700254,-0.244024559,-0.032979271,-0.105954529,-0.046336513,0.16772867
2,1,-0.2063134,0.15519262,0.070719775,0.134286804,-0.119995263,0.025130995,-0.017101847,0.032416113,0.15042735,-0.029441895,0.021626633,-0.06086495,-0.016131964,-0.410537041,-0.039117399,-0.01359575,-0.01447633,-0.105470396,-0.109498427,0.009249833,-0.119681679,-0.023959775,0.018720268,0.102867544,-0.05197847,0.138039201,-0.031297036,-0.082734834,0.080700177,-0.017529725,-0.030477875,-0.11819299,0.063545241,-0.007617239,-0.020283035,-0.070989628,-0.012358425,-0.000379894,-0.000251477,-0.008154502,-0.009946207,0.085908482,0.002153979,-0.203526198,0.090324648,0.00727541,0.012344223,-0.060842524,-0.039045479,-0.105970986,0.137072298,0.009024217
2,1,-0.203989804,0.112741679,0.071963299,0.121037197,-0.079356656,0.218135367,-0.024603289,0.040274659,-0.003418803,-0.015761774,0.000179544,0.060057434,-0.022930831,-0.107084764,0.233913755,-0.027492682,-0.125390654,-0.108297584,-0.1117761,0.016992878,-0.022378665,-0.060436643,0.018720268,0.102867544,-0.05197847,0.138039201,-0.031297036,-0.082734834,0.080700177,-0.017529725,-0.030477875,-0.11819299,0.063545241,-0.007617239,-0.020283035,-0.070989628,0.321043982,0.031270924,-0.012735089,0.133325837,0.019135088,0.12936598,0.001126406,-0.205859511,0.230447105,-0.021102193,-0.002052664,0.060036597,0.233876123,-0.105312734,-0.028633754,0.117166367
2,1,-0.204819659,-0.158383672,0.071756045,-0.007251657,0.21745031,0.054487647,-0.032104732,0.121666745,-0.157264957,0.016439994,-0.002177279,-0.260386885,-0.031429415,0.08554651,-0.139398185,-0.035599225,-0.263756826,-0.113362963,-0.11319332,0.010396951,-0.001225836,-0.010911139,-0.078767169,-0.195299003,-0.073449783,-0.168571392,0.041584757,-0.042752604,0.012778381,0.036344813,-0.039380969,-0.082166373,-0.010757585,-0.095558415,0.019976298,0.010121077,0.321043982,0.031270924,-0.012735089,0.133325837,0.019135088,-0.011035167,0.012943498,-0.20016526,0.221157218,0.024951695,0.018959009,-0.260364741,-0.139397897,-0.10488487,-0.102738324,0.250949543
2,1,-0.2012987,-0.139561084,0.155901123,0.08888649,0.003371936,-0.064812791,-0.036721004,-0.028347288,-0.157264957,0.022745235,-0.044128728,0.154545623,-0.034262276,-0.131888941,-0.024275843,-0.04254769,-0.123619567,-0.116779149,-0.108081208,0.017853217,0.018869352,-0.054802005,-0.078767169,-0.195299003,-0.073449783,-0.168571392,0.041584757,-0.042752604,0.012778381,0.036344813,-0.039380969,-0.082166373,-0.010757585,-0.095558415,0.019976298,0.010121077,0.321043982,0.031270924,-0.012735089,0.133325837,0.019135088,-0.030376141,-0.07011867,-0.203695454,0.16365845,-0.012216277,0.012295585,0.15458987,-0.024313259,-0.106333024,-0.089358332,0.118605863
2,1,-0.14171505,-0.025023639,-0.103166235,0.116767181,0.008451762,-0.146636651,-0.025180323,0.063288973,0.073504274,0.083207995,-0.027395285,0.06301019,-0.028596553,0.200864177,0.15288688,-0.026913643,-0.000750406,-0.123964919,-0.105196154,0.014411863,0.03896454,0.000358137,-0.009018425,0.098155878,-0.030155168,0.142639017,0.051371005,-0.074294141,0.075486564,-0.051478065,-0.040522391,0.180474731,-0.069151746,-0.196734886,0.122977448,0.035331161,0.321043982,0.031270924,-0.012735089,0.133325837,0.019135088,0.343071806,0.066548567,-0.146233083,0.101373982,-0.024446355,0.0442022,0.06304663,0.152877798,-0.107057102,-0.077625109,-0.000152572
2,1,-0.144987053,0.246101711,0.060771589,0.09566828,0.067232604,0.197523249,-0.011331506,-0.034381529,0.073504274,0.050837337,0.027283009,-0.160415007,-0.008766525,-0.077058654,-0.147153233,-0.019965177,0.132745277,-0.12125553,-0.098970513,0.018139996,-0.122325783,0.052552681,-0.009018425,0.098155878,-0.030155168,0.142639017,0.051371005,-0.074294141,0.075486564,-0.051478065,-0.040522391,0.180474731,-0.069151746,-0.196734886,0.122977448,0.035331161,0.321043982,0.031270924,-0.012735089,0.133325837,0.019135088,0.065134843,-0.095636739,-0.142944683,0.037118933,0.018932204,0.07829753,-0.160412519,-0.147139534,-0.108817926,0.121222154,-0.13078685
